id,brand,gear,model,price,fuel,mileage,hp,type,geo,model_year
99492,Volvo,Automat,V70,67000,Diesel,45 000 - 49 999,205,Kombi,Söderhamn,2011
99493,Toyota,Manuell,AVENSIS,79000,Bensin,9 500 - 9 999,152,Sedan,Södertälje,2009
99494,Land Rover,Automat,FREE,29000,Bensin,17 000 - 17 499,176,SUV,Karlstad,2002
99495,Mazda,Manuell,2,8000,Bensin,29 000 - 29 499,115,Halvkombi,Östersund,2000
99496,Volvo,Manuell,S40,17000,Bensin,19 000 - 19 499,108,Sedan,Kristianstad,2002
99497,Toyota,Manuell,VERSO,47000,Bensin,17 000 - 17 499,129,-,"Göteborg, Västra Centrum",2005
99498,BMW,Automat,320,24900,Bensin,27 400,170,Sedan,Örebro,2002
99499,Mercedes-Benz,Automat,906 KA 35  316 CDI,280000,Diesel,14 500 - 14 999,163,-,Nynäshamn,2011
99500,SEAT,Manuell,MII,39900,Bensin,11 600,74,Halvkombi,Haninge,2013
99501,Mercedes-Benz,Automat,A200,239900,Bensin,2 625,156,Coupé,,2015
99502,Smart,Automat,ROADSTER,54000,Bensin,14 000 - 14 499,81,Cab,"Malmö, Centralt Söder",2004
99503,Peugeot,Manuell,406,2000,Bensin,23 000 - 23 499,115,Kombi,Ockelbo,2004
99504,Toyota,Manuell,VERSO,12500,Bensin,26 000 - 26 499,106,Småbil,Trelleborg,2001
99505,BMW,Manuell,520,41000,Bensin,23 500 - 23 999,170,Sedan,Kalix,2004
99506,Skoda,Manuell,Fabia,32000,Bensin,21 000 - 21 499,69,Kombi,Kungsbacka,2012
99507,Toyota,Manuell,VERSO,43000,Bensin,20 500 - 20 999,129,Kombi,Uddevalla,2006
99508,Peugeot,Manuell,207,48000,Diesel,8 000 - 8 499,111,Halvkombi,Hägersten-Liljeholmen,2010
99509,Hyundai,Manuell,SANTA FE,25000,Bensin,18 000 - 18 499,145,SUV,Tjörn,2004
99510,Nissan,Manuell,CABSTAR,3700,Diesel,15 000 - 15 499,130,Yrkesfordon,Bollnäs,2012
99511,Audi,Automat,A3,229900,Diesel,2 100,149,Halvkombi,Haninge,2016
99512,Mercedes-Benz,Automat,E200,50000,Bensin,20 000 - 20 499,163,Sedan,Osby,2004
99513,Mitsubishi,Automat,SPACE STAR,15900,Bensin,29 000 - 29 499,97,Halvkombi,Västerås,2004
99514,Peugeot,Automat,807,83500,Bensin,13 000 - 13 499,140,Familjebuss,Halmstad,2008
99515,Renault,Manuell,B,9500,Bensin,27 900,95,Halvkombi,Växjö,2000
99516,Volkswagen,Automat,"VOLKSWAGEN, VW T-ROC",314500,Bensin,0,190,SUV,,2018
99517,Audi,Manuell,A3,249000,Bensin,0,115,Halvkombi,,2019
99518,Audi,Manuell,A3,249000,Bensin,0,115,Halvkombi,,2019
99519,Skoda,Manuell,Rapid,149900,Bensin,500,110,Halvkombi,,2018
99520,Audi,Manuell,A1,139900,Bensin,4 444,95,Halvkombi,,2016
99521,Nissan,Manuell,QASHQAI,164900,Bensin,1 829,115,SUV,,2015
99522,Hyundai,Manuell,ATOS,9900,Bensin,13 400,58,Sedan,Landskrona,2001
99523,Nissan,Automat,QASHQAI,199900,Diesel,3 400,130,SUV,Haninge,2017
99524,Porsche,Automat,CAYENNE,509900,Diesel,9 980,384,SUV,,2015
99525,Peugeot,Manuell,406,22900,Bensin,15 000 - 15 499,157,Kombi,Solna,2004
99526,Mercedes-Benz,Automat,S350,508000,Diesel,3 800,258,Sedan,,2014
99527,Citroën,Manuell,Jump,34000,Diesel,23 600,136,-,,2007
99528,Toyota,Manuell,AVENSIS,49900,Bensin,14 900,149,Familjebuss,,2005
99529,Nissan,Manuell,PRIMERA,17900,Bensin,21 983,140,Kombi,Landskrona,2005
99530,BMW,Automat,545,67900,Bensin,26 920,333,Sedan,,2005
99531,Mercedes-Benz,Automat,E220,524900,Diesel,0,194,Kombi,Falun,2018
99532,Toyota,Manuell,AYGO,75000,Bensin,8 000 - 8 499,69,Småbil,Huddinge,2015
99533,BMW,Automat,X3,179000,Diesel,17 000,183,SUV,,2012
99534,Volkswagen,Automat,POLO,144900,Bensin,1 500 - 1 999,89,Halvkombi,"Göteborg, Hisingen",2017
